Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.97450450289152,7.99738080911762,8.04792427126814,8.17802167460482,8.39522614352303,8.66257544251154,8.91283219947049,9.06590200556824,9.09772057476815,9.06168809539671,8.98263523995396,8.8975113727589,8.98124666310732,9.22398268541312,9.48588216092704,9.75617622395665,10.019668356333,10.2247959654454,10.2722478262935,10.1178363541716,9.81511178190737,9.55414012738854,9.4860430759661,9.50217854825252,9.43509338252248,9.17766185946609,8.68535940478387,8.00271907057224,7.20319244743952,6.41107099133723,5.79308243181472,5.50060349141865,5.54491408788433,5.76289339265118,6.00026532236667,6.28250787875682,6.45237064968783,6.38109905328128,6.19145401688893,5.97909158865992,5.85355262443684,5.78722950644921,5.74348503346946,5.80597465612928,5.91830004740411,5.99600741480108,5.97949542667605,5.81771298224735,5.5394641564084,5.21253790146584,5.12619652649076,5.36821870590797,5.69171295601261,5.96230905828429,6.12137737900031,6.128001460787,5.96855511002091,5.67496229260935,5.31604971268208,4.96090709686549,4.7907673332746,4.88257705743121,5.10447971037416,5.37145465558257,5.64134943393579
Africa Eastern and Southern,AFE,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.53766504544044,8.50555443129557,8.4741529885955,8.45029654223483,8.44703326309503,8.46370704693954,8.48995762012876,8.51700906759951,8.52931946584377,8.5263936972422,8.49750773703194,8.44546775720749,8.40409281525215,8.39066155476219,8.40228572620628,8.43625354880689,8.47511505880379,8.51375235331532,8.57464651864017,8.63751139502628,8.68746447379669,8.72283023172378,8.75110681051005,8.76520804362885,8.77150087057642,8.77051228309882,8.75907157223508,8.7529602408566,8.76107766907968,8.78620898073268,8.81693792303199,8.85646631188987,8.8868327820614,8.86308157538824,8.88187706217641,8.92310252479845,8.90768258441959,8.88595424065487,8.89022776037252,8.91992460758732,8.94376630409971,8.97179643135835,9.00971273088189,9.04817146076731,9.08889011754945,9.13738068528894,9.1842698578215,9.21794672487641,9.23342507664563,9.23339707858561,9.21578835234841,9.18905836388652,9.16936752949788,9.16154732685153,9.15237662793519,9.15684314627155,9.17207898769521,9.18271049719176,9.19316085365155,9.20411447528044,9.21184678084145,9.21433407243966,9.2180021909466,9.22193445028954,9.22884756286975
Afghanistan,AFG,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.79761167290037,8.76400476838608,8.7247908720945,8.69955284499851,8.71315781494003,8.77280887223885,8.86744181961005,8.97709067739957,9.06717731477512,9.09158879898719,9.00691348276374,8.85043708263702,8.68400087100186,8.53075948871607,8.42098114644873,8.38698667427906,8.39863130774053,8.40797043949746,8.41748356290163,8.43286825545993,8.45085395550329,8.46804185898786,8.49539308161163,8.53108335828173,8.57691279711815,8.63061142324615,8.67375271811509,8.70626029247685,8.73055404917552,8.74511135846227,8.75269813448304,8.75260443462834,8.74218830299617,8.71887993894035,8.68683858329165,8.64809482715215,8.60094970067356,8.54841652957817,8.49075689735631,8.42563567596586,8.36217251414366,8.29714282660488,8.22874846482957,8.16875345601822,8.12464984559045,8.1093757342,8.14149935862615,8.21984177915266,8.33160374447136,8.46292721335397,8.60157728722384,8.7409446764047,8.89115773119677,9.0569239594288,9.22905952267753,9.39966000375263,9.55683993221983,9.68483115179568,9.77936060715956,9.84623360830858,9.89554982174012,9.93088406979404,9.94513451537263,9.9318712387698,9.88481764012535
Africa Western and Central,AFW,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.62338139616357,8.60291786299785,8.59128293898519,8.5797421493544,8.57162359611116,8.56444682902087,8.54823737938622,8.51106380672549,8.44030846280024,8.34852776632856,8.28036854315741,8.23649128516727,8.20881135373565,8.21707084557607,8.24937463808004,8.26710632831943,8.2666131973972,8.27377806652264,8.28945850415555,8.30958231416642,8.32772402829716,8.35140849862822,8.38917975527501,8.42247899212855,8.44029435214222,8.45198513538393,8.45933416975889,8.46200898096779,8.47098125328698,8.48712773342901,8.50778430113094,8.53826013002588,8.58342158425801,8.63926048698151,8.70330019352978,8.78095943810865,8.8644866422399,8.94658316085292,9.03194781964802,9.10557913342894,9.14964997682589,9.16704878457603,9.17006794307058,9.16508293236649,9.14650113954905,9.11468094902061,9.07508128645295,9.02713932968906,8.98155484601599,8.94865616619002,8.91960149773929,8.8899099653246,8.85778851222168,8.82399771851294,8.7890451080132,8.75648779437551,8.73878410589205,8.73361381060156,8.73745493316306,8.7606024954004,8.81277382594938,8.88593157497812,8.97066855907703,9.06718155104064,9.17619396420308
Angola,AGO,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,9.11552706525127,8.90238213422313,8.672321796658,8.46412471627665,8.30388385949872,8.20088095494791,8.14519091507872,8.10926439608208,8.03711418373722,7.88694335030548,7.58252884723484,7.2453478455769,7.08179392310927,7.09050501832086,7.2333288509751,7.42941234708802,7.62149688850303,7.81794368998017,8.00851954630562,8.17956880737348,8.33290321150107,8.46759959260924,8.58020466832208,8.67159787641149,8.73553953029199,8.76730665679392,8.76585381901581,8.74514776443054,8.72597157140957,8.70826939987303,8.67475561584061,8.59958384109014,8.49799198316414,8.39409162774928,8.29541372934881,8.21961463784853,8.18084645140491,8.17667769310103,8.19345915901546,8.22043380947078,8.25564039166442,8.30160370729701,8.35758576173738,8.41757611701199,8.48147723878118,8.54746592639304,8.60887982112307,8.66271507002103,8.70356630332595,8.72836171352633,8.73986547631018,8.74056660769579,8.72547426595036,8.69279619583786,8.64014044721372,8.57311999421859,8.50814608182428,8.450941838343,8.39907744869211,8.35866973891105,8.3300653389937,8.32368784806352,8.34479058283918,8.38908810625641,8.46456829712312
Albania,ALB,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.22302520351422,8.18039815451461,8.11462334919219,8.01574777420153,7.88685914642606,7.76135769093129,7.69804490889009,7.7284482802013,7.83534788528245,7.93493830758399,8.00019849652794,8.08867083414093,8.2175965858876,8.37883005467386,8.56335658168551,8.7740742468997,9.01989293236484,9.29958534162492,9.59186630882754,9.8616604602141,10.089582657835,10.2693723118597,10.3792991703575,10.4124673840719,10.3643424760608,10.1917129621282,9.9490675906456,9.78511402292856,9.68934201239119,9.56809677299841,9.44267625250108,9.3327094851695,9.18955286778734,8.96409522131038,8.70493007774145,8.49474301288933,8.32248053507954,8.16453190896696,8.05100022575417,8.00110787077013,8.01486202851076,8.07982693213657,8.15711900284493,8.22679674551755,8.27877437748996,8.30012126847205,8.27808793023778,8.21643946250602,8.15277641797628,8.13805730024497,8.20615180173226,8.38886299261429,8.62909405941099,8.82657206922153,8.94693642706094,8.98030196707149,8.94036613259805,8.80283891145002,8.55168096547761,8.22159323549833,7.87427087850308,7.48468208955535,7.09295402566637,6.79501009637012,6.49806657444025
Andorra,AND,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.62105711849958,8.71983315125634,8.81453332097506,8.81893860561915,8.740234375,8.54190585533869,8.16721640613796,7.74920042643923,7.56536250695346,7.55476341056747,7.68694719914232,8.0422909254898,8.4925590347871,8.95509232735446,9.42371475953566,9.82299847614582,10.1214425454948,10.3531468531469,10.4855595067965,10.545189134298,10.5033955598867,10.3283354361668,10.1430173864274,10.0186418109188,9.90368243157386,9.71101085233508,9.66190310212618,9.36317920875795,8.82592831079631,8.44738379370775,8.2562894031865,8.86839772962984,9.54502689365026,9.30315120367866,8.76111460020494,8.43313538798394,8.18045459790008,7.85219399538106,7.54237968988511,7.07341174970514,6.45622735075339,6.11644961436338,5.95187908879416,6.12193006072572,6.43441415402747,6.49184133453902,6.37211689012276,6.04981294521601,5.72569405205861,5.46202255592249,5.13063160990831,4.95000131230151,4.97730349605798,4.99959407896517,4.93856040069902,4.86136420981805,4.83898091314219,4.85370146298537,4.90002435130821,5.10796347080593,5.26793704269095,5.36333533230777,5.56512129934211,5.69971140701737,5.68108054126929
Arab World,ARB,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.08320617536438,7.9554578725333,7.8377429054293,7.7429536867283,7.69700674652059,7.70402774163053,7.75733718966134,7.84099445336806,7.93059843506239,8.00902703127013,8.08321062902961,8.16066608252119,8.24499102047834,8.33941401374004,8.44800702454304,8.54439973438126,8.603154585871,8.63291773817732,8.65105468363419,8.66750357786004,8.69002184548389,8.72040625095143,8.77749257178059,8.85099645052641,8.91520599354527,8.97258488124607,9.00690810228521,9.00914855820071,8.99360196170337,8.97890350598987,8.9842927103427,9.00438204027459,9.02720295403248,9.05542344978491,9.07996158301086,9.10211221280004,9.12902833829987,9.16959782946468,9.23164362273669,9.31431937155095,9.40675827567188,9.4993398743976,9.58734065639963,9.67168436528575,9.74760874559433,9.80941643131718,9.86749028685137,9.91862485194774,9.91688664711277,9.86002602267657,9.76028148333033,9.62539410498882,9.46432315513854,9.28352726769097,9.09624141414212,8.93042449028729,8.78994744319306,8.67562605290684,8.58505001010175,8.5183639712473,8.47145497972901,8.44961403350913,8.44352616206941,8.4416573699824,8.42770003810138
United Arab Emirates,ARE,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,9.9634840837135,10.0948006254887,10.1807416346888,10.2069917621093,10.170543991604,10.0887703783711,9.99304048798461,9.92834388515764,9.87877011416503,9.92537115939344,10.0925015898711,10.1973315394102,10.1140033426487,9.85198495917316,9.4823011926065,9.09747076276261,9.46783198661924,10.3394715364211,10.8763801437668,11.0327972807443,10.8684132229368,10.6763333476614,10.5847423685723,10.4552222223701,10.219639986748,9.85573201715644,9.39906520547132,9.06850689789216,9.00580440054553,9.1439924214515,9.39496969043611,9.66013659973007,9.85808210691243,9.94461056040576,9.90582604809691,9.76050458995185,9.7896145933613,10.0167580352813,10.1965393377528,10.3069202480602,10.4563735483216,10.6937249499757,10.8829360471512,10.9408106779076,10.8216253471094,10.3854418205947,9.86644045678671,9.76081662984456,9.86832452688033,9.91476561973426,9.97681190156474,10.0766710343147,10.1537392344946,10.1828124902469,10.1901066071523,10.2000677224722,10.210971367879,10.210393085297,10.1954145186243,10.1461231306351,10.0961130588747,10.06182513933,10.0047938475556,9.62367076623084,9.09966168731286
Argentina,ARG,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.91475429652173,7.88151818463567,7.87669169565167,7.89757071564799,7.93882145416056,7.99708892114904,8.07044723452404,8.15537922261222,8.23947254437924,8.29937341213475,8.33674738295008,8.36088687267185,8.36294414151522,8.34758899091445,8.32780583465373,8.28689697693992,8.21924128878045,8.13771593773062,8.03840551322964,7.94415609832458,7.86814134115279,7.79592193049072,7.73567176601919,7.70100258403199,7.66744599846799,7.60933484538289,7.53586236115366,7.46480295631847,7.41073813079998,7.3852089483486,7.39855277163161,7.45112977237567,7.52786717085855,7.61615586724872,7.71501733234735,7.82390138157248,7.93866014506636,8.05920912818864,8.17505054721082,8.26507329897252,8.32227598810431,8.34124534966735,8.31426614989184,8.25102385122059,8.17071760076902,8.0796426790997,7.99160299299171,7.92289714922487,7.87865614960152,7.85248667394797,7.84831827822213,7.86075726157869,7.87566018689776,7.88840098217,7.89110536630729,7.86912396059858,7.81614002793736,7.74216534835356,7.65289913475849,7.56819142819528,7.50453178573436,7.4602679278878,7.43104418447365,7.40150679013216,7.36047202038857
